CLASS_TYPE;POS;PIC;NUMBER;TEAM;VEHICLE;DRIVER;LAPS;ELAPSED;GAP_FIRST;GAP_PREVIOUS;BEST_LAP_NUM;BEST_LAP_TIME;BEST_LAP_KPH;
Am;1;1;2;RVA Graphics Motorsports by Speed Syndicate;Toyota GR86;Will Robusto;17;46:59.428;;;8;2:31.882;154.4;
Am;2;2;72;TechSport;Toyota GR86;Ethan Goulart;17;47:01.563;+2.135;+2.135;10;2:31.714;154.6;
Am;3;3;47;TechSport;Toyota GR86;Parker DeLong;17;47:01.739;+2.311;+0.176;12;2:31.810;154.5;
Am;4;4;55;RVA Graphics Motorsports by Speed Syndicate;Toyota GR86;Spike Kohlbecker;17;47:01.918;+2.490;+0.179;9;2:31.703;154.6;
Am;5;5;98;TechSport;Toyota GR86;Max Schweid;17;47:04.351;+4.923;+2.433;16;2:31.723;154.6;
Am;6;6;7;Copeland Motorsports;Toyota GR86;Jaxon Bell;17;47:04.354;+4.926;+0.003;12;2:31.931;154.4;
Am;7;7;31;Nitro Motorsports;Toyota GR86;Jackson Tovo;17;47:05.566;+6.138;+1.212;16;2:32.106;154.2;
Am;8;8;13;BSI Racing;Toyota GR86;Westin Workman;17;47:05.599;+6.171;+0.033;9;2:31.884;154.4;
Am;9;9;113;Nitro Motorsports;Toyota GR86;Ethan Tovo;17;47:10.076;+10.648;+4.477;10;2:32.292;154.0;
Am;10;10;88;PT Autosport with Copeland Motorsports;Toyota GR86;Max Stallone;17;47:10.366;+10.938;+0.290;3;2:32.638;153.6;
Am;11;11;46;Lucas Racing;Toyota GR86;Lucas Weisenberg;17;47:17.705;+18.277;+7.339;3;2:31.705;154.6;
Am;12;12;51;BSI Racing;Toyota GR86;Massimo Sunseri;17;47:19.327;+19.899;+1.622;9;2:33.144;153.1;
Am;13;13;58;Copeland Motorsports;Toyota GR86;Jack Murchison;17;47:19.478;+20.050;+0.151;9;2:32.823;153.5;
Am;14;14;03;Precision Racing LA;Toyota GR86;Karl Forman;17;47:19.753;+20.325;+0.275;14;2:32.938;153.3;
Am;15;15;21;Copeland Motorsports;Toyota GR86;Ford Koch;17;47:21.734;+22.306;+1.981;10;2:32.559;153.7;
Am;16;16;41;Copeland Motorsports;Toyota GR86;Jenson Sofronas;17;47:22.441;+23.013;+0.707;3;2:32.488;153.8;
Am;17;17;89;Eagles Canyon Racing Powered by Fast Track;Toyota GR86;Livio Galanti;17;47:23.807;+24.379;+1.366;8;2:33.389;152.9;
Am;18;18;5;Copeland Motorsports;Toyota GR86;Beltre Curtis;17;47:25.144;+25.716;+1.337;13;2:33.245;153.0;
Am;19;19;11;RVA Graphics Motorsports by Speed Syndicate;Toyota GR86;Farran Davis;17;47:37.623;+38.195;+12.479;7;2:34.521;151.8;
Am;20;20;80;Nitro Motorsports;Toyota GR86;Paityn Feyen;17;47:45.574;+46.146;+7.951;12;2:34.693;151.6;
Am;21;21;86;Eagles Canyon Racing Powered by Fast Track;Toyota GR86;Andrew Gilleland;17;47:45.873;+46.445;+0.299;12;2:35.415;150.9;
Am;22;22;8;Eagles Canyon Racing Powered by Fast Track;Toyota GR86;Tom Rudnai;17;47:57.155;+57.727;+11.282;9;2:35.651;150.7;
Am;23;23;12;BSI Racing;Toyota GR86;John Lennon;17;48:20.904;+1'21.476;+23.749;9;2:36.008;150.3;
Am;24;24;57;Eagles Canyon Racing Powered by Fast Track;Toyota GR86;Jeff Curry;17;48:41.998;+1'42.570;+21.094;9;2:39.213;147.3;
Am;25;25;18;Precision Racing LA;Toyota GR86;Rutledge Wood;17;48:46.106;+1'46.678;+4.108;10;2:40.540;146.1;
Am;26;26;71;TechSport;Toyota GR86;Christian Weir;3;7:44.523;14 Laps;14 Laps;2;2:32.776;153.5;
Am;27;27;22;Copeland Motorsports;Toyota GR86;Jeremy Fletcher;2;5:08.569;15 Laps;1 Laps;2;2:32.467;153.8;
Am;28;28;15;TechSport;Toyota GR86;Brett Kowalski;0;;17 Laps;2 Laps;0;;;
